ID,NoFloor,FloorArea(m2),TotalFloorArea(m2),ColumnArea(m2),ConcreteWallArea(NS)(m2),ConcreteWallArea(EW)(m2),MasonryWallArea(NS)(m2),MasonryWallArea(EW)(m2),StructuralDamage
491,5,332,1662,0,22.52,17.42,0,0,0
492,5,285,1426,4.04,0,0,0.362,0,1
493,5,217,1086,5.18,0,0,0.665,0,0
494,5,217,1086,5.18,0,0,0,0.665,1
496,5,251,1256,6.85,0,0,0.168,0.645,0
497,5,415,2077,7.59,0.38,0.83,0.806,0.646,1
498,5,268,1341,3.84,0,0.4,0.46,0.268,1
501,3,316,949,3.18,0,0,0.291,0.135,1
502,3,134,402,1.2,0,0,0,0.337,0
503,3,258,775,3.94,0,0,0.514,0.204,1
504,4,263,1053,3.74,0,0.48,0.194,0.26,1
505,4,350,1401,4.58,0,0,0.274,0.591,0
506,4,438,1754,6.41,0,0,0.376,0.115,1
509,4,336,1345,5.23,0,0,0.884,0,0
510,5,218,1091,5.18,0,0,0.665,0,1
512,5,218,1091,5.18,0,0,0.665,0,1
513,4,191,765,1.43,0.49,0,0.143,0.264,0
514,4,191,765,1.43,0.49,0,0.143,0.264,0
515,5,262,1311,3.9,0,0,0.336,0.388,0
516,3,596,1787,6.46,0,0,1.058,1.601,1
517,2,529,1057,5.41,0,0,0.651,1.951,0
518,4,525,2098,8,5.56,7.5,0.85,0.328,0
519,3,281,844,3.45,5.52,3.93,0.198,0.19,0
521,2,586,1171,6.46,0,0,1.172,1.871,0
522,2,590,1179,6.46,0,0,1.103,1.576,0
523,2,590,1179,6.46,0,0,1.193,1.686,0
524,3,596,1787,6.46,0,0,0.74,1.836,1
525,3,596,1787,6.46,0,0,0.926,1.601,1
526,3,596,1787,6.46,0,0,0.926,1.601,1
527,3,194,583,4.76,2.52,0.9,0.165,0.617,0
529,3,596,1787,6.46,0,0,1.275,0.539,1
530,3,596,1787,6.46,0,0,1.142,1.25,0
531,3,596,1787,6.46,0,0,1.715,0.74,0
533,3,596,1787,6.46,0,0,0.896,1.601,1
534,4,524,2094,7.95,2.54,3.62,0.936,0.901,0
535,4,381,1526,5.9,3.57,3.22,0.511,0.297,1
536,4,596,2382,6.46,0,0,0.732,1.493,1
537,3,596,1787,6.46,0,0,1.058,1.437,1
538,4,396,1586,5.75,4.46,3.15,0.367,0.445,0
539,4,336,1345,4.75,0,0,0.173,0.712,0
